# Released page renders, hashed

What this file is: a fingerprint of every page the atlas could draw
before the 42-degree sheet step was added, so that adding it can be
shown to have changed none of them.

The gate that chose the step (docs/decisions/printable-chart.md)
promised the 1-36 degree atlas would stay byte-identical. That is a
claim about pixels, and only pixels can settle it.

## How this was made

Each row carries three digests, and they are not interchangeable.

**marks** is what the renderer decided to draw and where: every star
and deep-sky mark, its subject, its centre and its reach.

**ink** is every shape it then drew or filled, with that shape's own
coordinates, its colour and its stroke width. It sees the grid, the
constellation boundaries and figures, and the chart ground - none of which
marks can reach. It stops at text, and the boundary is font metrics:
they place a label and decide whether it fits, so both where the labels
are and which ones there are may legitimately differ between machines.

Both of those are arithmetic, so they hold on any machine, and the test
checks them everywhere. **pixels** is the rasterised page - every label the
other two leave out, and every pixel of everything they cover. It depends
on the font stack and the JDK's own 2D pipeline, so it is an oracle only
on the exact platform named below - OS and version, architecture, and JDK
build - and the test skips it out loud anywhere else rather than
pretending.

Recorded on: `Mac OS X 26.5.2/aarch64/Homebrew 21.0.11`

Every released field step, at four centres that exercise the cases
the atlas treats differently - the M31 default, Orion on the
equator, a near-polar page, and the RA seam - on both chart grounds,
900 x 700, stars to V 8.0. Each page is rendered through the
production SceneAssembler and ChartRenderer, and both digests are
SHA-256, recorded to their first eight bytes.

Generated from commit 9ffc9e3, the merge of PR #288 - the last
commit before the step was added, and the code released as 1.9.0.
juranometria.tool.WiderFieldStudyMain regenerates the same table
from whatever is checked out; a row that no longer matches is a
released page that has changed.

## The rows

field  ra           dec          ground  marks             ink               pixels
36     10.684708    41.268750    paper   127d060e8df6b6c6  a3ae1ad30eb7f2cc  3c857c505499b0f8
36     10.684708    41.268750    black   127d060e8df6b6c6  df2869a704371723  a4bb35ee0d275f30
36     83.000000    0.000000     paper   777c6b909a467220  f9e99428c116c9fb  718b6598240b64fa
36     83.000000    0.000000     black   777c6b909a467220  f6a4c8672ded6a93  ff092f0fb221d214
36     0.000000     89.000000    paper   754f056a364d1370  6a38fb02d792e4ef  5a2a7f42934fa862
36     0.000000     89.000000    black   754f056a364d1370  70f055cc5a29b691  a90781d234e0ac6e
36     359.900000   0.000000     paper   f3fac0150af303aa  b15bfe2a5d7e2061  f4743bba3fe7e814
36     359.900000   0.000000     black   f3fac0150af303aa  5176572084d623f2  8ff1e115efba51b5
24     10.684708    41.268750    paper   9e829628a9cebcda  24e0843a5fd89eef  e189774ee144cda1
24     10.684708    41.268750    black   9e829628a9cebcda  2776b9a64b2196f4  cde509fa569801dd
24     83.000000    0.000000     paper   7e0786fbfbb8f82c  9d80fb64088b93d2  5f6929063bf2c5c6
24     83.000000    0.000000     black   7e0786fbfbb8f82c  ee617ee2abc28fbf  f3c5481715355968
24     0.000000     89.000000    paper   ca86305662bb9587  c2861fa4ca8632dd  219cbe5e0b8f129a
24     0.000000     89.000000    black   ca86305662bb9587  480d6bcf2cd56dee  63c1e1605fa66d6d
24     359.900000   0.000000     paper   10515b878355309d  1fb1ed4bd6c33364  c5b23175d16a3478
24     359.900000   0.000000     black   10515b878355309d  0162108c1e2bb1d1  6d99e32544fa5116
18     10.684708    41.268750    paper   5a96fd0318f421b4  76129a4316262d01  2e927fa975cb75f5
18     10.684708    41.268750    black   5a96fd0318f421b4  5088621a7e44e9e5  1a259f3057fdfa13
18     83.000000    0.000000     paper   bc0c720b59d551e3  9fe5301a66328548  bb198b11a5f61567
18     83.000000    0.000000     black   bc0c720b59d551e3  14adef2b19de3fdc  f15f7ba23caa72d4
18     0.000000     89.000000    paper   4a5e7c6542724b25  c688c1d2197c8450  9bd318e1f8f03a9f
18     0.000000     89.000000    black   4a5e7c6542724b25  993259f77e313b8a  31984b0599fdacdd
18     359.900000   0.000000     paper   03996d29635a0ab9  6d7ec1b00382ba1f  d4aa8d7fb3750cba
18     359.900000   0.000000     black   03996d29635a0ab9  aaf767248c1a8043  0cc6ff132d66db7b
12     10.684708    41.268750    paper   15d246d8b45ee080  c7d01116cae449ff  716c15dd1f0bcfae
12     10.684708    41.268750    black   15d246d8b45ee080  43b7f4fcb6dea5db  7a750d810367d6d6
12     83.000000    0.000000     paper   a75d110a4a60dc04  003e0990508fcd4a  d5fea34446448ae3
12     83.000000    0.000000     black   a75d110a4a60dc04  e6f352fe60eb6b41  e1ec661cf3c730a3
12     0.000000     89.000000    paper   a0f26753b7e10b62  faf3d5a95c964952  875cb45216bde43a
12     0.000000     89.000000    black   a0f26753b7e10b62  10b2c087a5a39186  33e2a18260894dc7
12     359.900000   0.000000     paper   2763940fd6dfbe71  2f507fc721188fc5  7cfe5ad4eb1869a8
12     359.900000   0.000000     black   2763940fd6dfbe71  f710f265328189aa  63a9f915500a5052
8      10.684708    41.268750    paper   51890a3a71e3304d  1b80a2672b449cfc  fac118a305cc7483
8      10.684708    41.268750    black   51890a3a71e3304d  77ca4dd58717781e  5db02e99ee82f4fb
8      83.000000    0.000000     paper   9157551a6cf30b4d  27a43a61065aaade  1f63a91b9a03c617
8      83.000000    0.000000     black   9157551a6cf30b4d  107ce09619b71422  25ae6fcde44dd070
8      0.000000     89.000000    paper   f88fc52063c7dff6  6b16dc4614fa7603  ac29073c28496877
8      0.000000     89.000000    black   f88fc52063c7dff6  5b88fb8e8542ce28  3605d2c76383b688
8      359.900000   0.000000     paper   6007b06ac1fec0c8  2c93c57c1b6c2d8b  07cd403b8f60bb51
8      359.900000   0.000000     black   6007b06ac1fec0c8  54cdd906b4a9f6db  a59165c1e21f4652
6      10.684708    41.268750    paper   aab1bc9b29020e92  b50117cbed8fbfbc  70bfc2e88124bf45
6      10.684708    41.268750    black   aab1bc9b29020e92  5aa08ef8860681a0  18780a501d93caed
6      83.000000    0.000000     paper   29dc5800df8cf5ef  4dcdc228fcf87a95  b633b4e86aa70ef4
6      83.000000    0.000000     black   29dc5800df8cf5ef  84a2fdd1a869d13e  07fab2bc977b0a1a
6      0.000000     89.000000    paper   ee3a2f775365b8be  13723c0ee38cb59b  e7bc25257a364ad8
6      0.000000     89.000000    black   ee3a2f775365b8be  7f38dbbf097abbe6  3215adb7bf5ac62e
6      359.900000   0.000000     paper   c424bfaa12f75635  3a485cada429453f  d778be719b9fb355
6      359.900000   0.000000     black   c424bfaa12f75635  334a7d9c0bd3880d  e1ba93ea2df88d23
4      10.684708    41.268750    paper   d71c8df55201321a  d46fc048d1ce21bc  7b4c964eb18c379d
4      10.684708    41.268750    black   d71c8df55201321a  424a8996b9443208  86dc942f9f2fcdb6
4      83.000000    0.000000     paper   382ac5a0cf88e2ab  08be317d831404e1  86a5da366c6e37fe
4      83.000000    0.000000     black   382ac5a0cf88e2ab  57153f7a6671f859  d232eed4cf9d8a1b
4      0.000000     89.000000    paper   7115cdddf8d43899  c39c38126080c415  4300f64277892de6
4      0.000000     89.000000    black   7115cdddf8d43899  4accbdecf1184565  4e88eb725a55f344
4      359.900000   0.000000     paper   304c878c3f24fc23  3e863778b6062292  fee1ddf43200d9de
4      359.900000   0.000000     black   304c878c3f24fc23  91938d6600a47112  ae5c287dc42cda30
3      10.684708    41.268750    paper   e3d7d4f02e488071  afb41604d5f0ffd3  007d2d9a2362a8af
3      10.684708    41.268750    black   e3d7d4f02e488071  ae04fb9de6b7d334  f848d4c25b33da8d
3      83.000000    0.000000     paper   8d984a9b3860f383  85b9eb2e98322815  34bfcf1707560ce1
3      83.000000    0.000000     black   8d984a9b3860f383  c3b80465f3a009e2  19f1825d3a65e422
3      0.000000     89.000000    paper   3e67931a0943136e  a7f625f6baad5883  33ae02a9f4fea320
3      0.000000     89.000000    black   3e67931a0943136e  2cd5d1d31afbfda7  7295131d253a1cc1
3      359.900000   0.000000     paper   2f7736d3d2275c61  5a907381ad2672be  d1725a51b9334fbc
3      359.900000   0.000000     black   2f7736d3d2275c61  74fe05ab7b05b108  7c1f80f30273220a
2      10.684708    41.268750    paper   647bf9ca932c4499  958aad5eed16b276  10175f846a7bad3d
